measure label,year,state,county,fips,value,numerator,denominator
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Baldwin County,1003,,1562,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Calhoun County,1015,,1959,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Cullman County,1043,,2047,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,DeKalb County,1049,,1115,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Elmore County,1051,,1085,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Etowah County,1055,,2424,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Houston County,1069,,1621,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Jefferson County,1073,0.105627179,9438,89352
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Lauderdale County,1077,,1887,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Lee County,1081,,1395,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Limestone County,1083,,1296,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Madison County,1089,,2656,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Marshall County,1095,,1304,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Mobile County,1097,,7076,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Montgomery County,1101,,2572,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Morgan County,1103,,1093,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Shelby County,1117,,848,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,St. Clair County,1115,,801,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Talladega County,1121,,1779,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Tuscaloosa County,1125,,1866,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alabama,Walker County,1127,,994,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alaska,Anchorage Municipality,2020,,730,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alaska,Fairbanks North Star Borough,2090,,418,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Alaska,Matanuska-Susitna Borough,2170,,408,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Apache County,4001,,1816,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Cochise County,4003,,3013,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Coconino County,4005,,1486,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Maricopa County,4013,0.075773589,38781,511801
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Mohave County,4015,,4062,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Navajo County,4017,,2398,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Pima County,4019,0.086245738,14165,164240
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Pinal County,4021,,4205,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Yavapai County,4025,,2150,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arizona,Yuma County,4027,,3434,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2012, Arkansas,Benton County,5007,,1416,
