measure label,year,state,county,fips,senior_unemployment_1y,numerator,denominator
senior_unemployment_1y,2013, Alabama,Baldwin County,1003,0.019105606,91,4763
senior_unemployment_1y,2013, Alabama,Calhoun County,1015,0.066402815,151,2274
senior_unemployment_1y,2013, Alabama,Cullman County,1043,0.056095738,75,1337
senior_unemployment_1y,2013, Alabama,Etowah County,1055,0,0,1873
senior_unemployment_1y,2013, Alabama,Houston County,1069,0.039669421,120,3025
senior_unemployment_1y,2013, Alabama,Jefferson County,1073,0.045365974,745,16422
senior_unemployment_1y,2013, Alabama,Lauderdale County,1077,0.123443425,228,1847
senior_unemployment_1y,2013, Alabama,Lee County,1081,0.055496264,156,2811
senior_unemployment_1y,2013, Alabama,Limestone County,1083,0,0,2285
senior_unemployment_1y,2013, Alabama,Madison County,1089,0.048412699,366,7560
senior_unemployment_1y,2013, Alabama,Marshall County,1095,0.009708738,17,1751
senior_unemployment_1y,2013, Alabama,Mobile County,1097,0.074937738,662,8834
senior_unemployment_1y,2013, Alabama,Montgomery County,1101,0.018828813,109,5789
senior_unemployment_1y,2013, Alabama,Morgan County,1103,0.058851004,126,2141
senior_unemployment_1y,2013, Alabama,Shelby County,1117,0.011437909,49,4284
senior_unemployment_1y,2013, Alabama,Talladega County,1121,0,0,1578
senior_unemployment_1y,2013, Alabama,Tuscaloosa County,1125,0.019221041,76,3954
senior_unemployment_1y,2013, Alaska,Anchorage Municipality,2020,0.070205212,455,6481
senior_unemployment_1y,2013, Alaska,Fairbanks North Star Borough,2090,0.167926118,400,2382
senior_unemployment_1y,2013, Alaska,Matanuska-Susitna Borough,2170,0.068945542,119,1726
senior_unemployment_1y,2013, Arizona,Apache County,4001,0.061043285,55,901
senior_unemployment_1y,2013, Arizona,Cochise County,4003,0.077651516,246,3168
senior_unemployment_1y,2013, Arizona,Coconino County,4005,0.078284547,230,2938
senior_unemployment_1y,2013, Arizona,Maricopa County,4013,0.073231377,6067,82847
senior_unemployment_1y,2013, Arizona,Mohave County,4015,0.08518815,532,6245
senior_unemployment_1y,2013, Arizona,Navajo County,4017,0.014523708,34,2341
senior_unemployment_1y,2013, Arizona,Pima County,4019,0.07297767,1807,24761
senior_unemployment_1y,2013, Arizona,Pinal County,4021,0.053399395,388,7266
senior_unemployment_1y,2013, Arizona,Yavapai County,4025,0.076101631,620,8147
senior_unemployment_1y,2013, Arizona,Yuma County,4027,0.119758353,337,2814
senior_unemployment_1y,2013, Arkansas,Benton County,5007,0.044799998,252,5625
senior_unemployment_1y,2013, Arkansas,Craighead County,5031,0,0,1554
senior_unemployment_1y,2013, Arkansas,Faulkner County,5045,0.005158438,7,1357
senior_unemployment_1y,2013, Arkansas,Garland County,5051,0.07661888,155,2023
senior_unemployment_1y,2013, Arkansas,Jefferson County,5069,0,0,1348
senior_unemployment_1y,2013, Arkansas,Lonoke County,5085,0.01297097,21,1619
senior_unemployment_1y,2013, Arkansas,Pulaski County,5119,0.019891342,227,11412
senior_unemployment_1y,2013, Arkansas,Sebastian County,5131,0.071167141,175,2459
senior_unemployment_1y,2013, Arkansas,Washington County,5143,0.027142216,121,4458
senior_unemployment_1y,2013, Arkansas,White County,5145,0.055426177,119,2147
senior_unemployment_1y,2013, California,Alameda County,6001,0.071230002,2511,35252
senior_unemployment_1y,2013, California,Butte County,6007,0.078532986,394,5017
senior_unemployment_1y,2013, California,Contra Costa County,6013,0.074367948,1912,25710
senior_unemployment_1y,2013, California,El Dorado County,6017,0.105424143,517,4904
senior_unemployment_1y,2013, California,Fresno County,6019,0.070524208,1231,17455
senior_unemployment_1y,2013, California,Humboldt County,6023,0.021323998,67,3142
senior_unemployment_1y,2013, California,Imperial County,6025,0.085804135,191,2226
senior_unemployment_1y,2013, California,Kern County,6029,0.108515628,1389,12800
senior_unemployment_1y,2013, California,Kings County,6031,0.063950486,124,1939
senior_unemployment_1y,2013, California,Los Angeles County,6037,0.071607366,15791,220522
senior_unemployment_1y,2013, California,Madera County,6039,0.008743673,19,2173
senior_unemployment_1y,2013, California,Marin County,6041,0.048618786,616,12670
senior_unemployment_1y,2013, California,Mendocino County,6045,0.023995014,77,3209
senior_unemployment_1y,2013, California,Merced County,6047,0.181545556,787,4335
senior_unemployment_1y,2013, California,Monterey County,6053,0.077906728,725,9306
senior_unemployment_1y,2013, California,Napa County,6055,0.058539793,267,4561
senior_unemployment_1y,2013, California,Orange County,6059,0.069266587,5474,79028
senior_unemployment_1y,2013, California,Placer County,6061,0.065771528,627,9533
senior_unemployment_1y,2013, California,Riverside County,6065,0.105408184,4514,42824
senior_unemployment_1y,2013, California,Sacramento County,6067,0.079154432,2022,25545
senior_unemployment_1y,2013, California,San Bernardino County,6071,0.096721642,2850,29466
senior_unemployment_1y,2013, California,San Diego County,6073,0.069462739,4798,69073
senior_unemployment_1y,2013, California,San Francisco County,6075,0.034283776,707,20622
