measure label,year,state,county,fips,perc_vacant_housing_1y,numerator,denominator
perc_vacant_housing_1y,2015,1,Baldwin County,1003,0.311503053,33823,108580
perc_vacant_housing_1y,2015,1,Calhoun County,1015,0.162819043,8682,53323
perc_vacant_housing_1y,2015,1,Cullman County,1043,0.164981171,6134,37180
perc_vacant_housing_1y,2015,1,DeKalb County,1049,0.153908119,4777,31038
perc_vacant_housing_1y,2015,1,Elmore County,1051,0.107172646,3598,33572
perc_vacant_housing_1y,2015,1,Etowah County,1055,0.17211476,8177,47509
perc_vacant_housing_1y,2015,1,Houston County,1069,0.16606003,7756,46706
perc_vacant_housing_1y,2015,1,Jefferson County,1073,0.132834226,40738,306683
perc_vacant_housing_1y,2015,1,Lauderdale County,1077,0.125971824,5590,44375
perc_vacant_housing_1y,2015,1,Lee County,1081,0.122120962,8107,66385
perc_vacant_housing_1y,2015,1,Limestone County,1083,0.110009551,3917,35606
perc_vacant_housing_1y,2015,1,Madison County,1089,0.100805193,15812,156857
perc_vacant_housing_1y,2015,1,Marshall County,1095,0.154052183,6212,40324
perc_vacant_housing_1y,2015,1,Mobile County,1097,0.158160463,28789,182024
perc_vacant_housing_1y,2015,1,Montgomery County,1101,0.131359071,13662,104005
perc_vacant_housing_1y,2015,1,Morgan County,1103,0.089093938,4596,51586
perc_vacant_housing_1y,2015,1,Shelby County,1117,0.087528594,7384,84361
perc_vacant_housing_1y,2015,1,St. Clair County,1115,0.112695672,4046,35902
perc_vacant_housing_1y,2015,1,Talladega County,1121,0.152589291,5678,37211
perc_vacant_housing_1y,2015,1,Tuscaloosa County,1125,0.200356975,17848,89081
perc_vacant_housing_1y,2015,1,Walker County,1127,0.197592482,6057,30654
perc_vacant_housing_1y,2015,2,Anchorage Municipality,2020,0.079853103,9176,114911
perc_vacant_housing_1y,2015,2,Fairbanks North Star Borough,2090,0.141182408,5877,41627
perc_vacant_housing_1y,2015,2,Matanuska-Susitna Borough,2170,0.256841034,10625,41368
perc_vacant_housing_1y,2015,3,Apache County,4001,0.388230622,12713,32746
perc_vacant_housing_1y,2015,3,Cochise County,4003,0.167244226,10135,60600
perc_vacant_housing_1y,2015,3,Coconino County,4005,0.269550115,17369,64437
perc_vacant_housing_1y,2015,3,Maricopa County,4013,0.115215503,195139,1693687
perc_vacant_housing_1y,2015,3,Mohave County,4015,0.245050952,27654,112850
perc_vacant_housing_1y,2015,3,Navajo County,4017,0.402765244,23217,57644
perc_vacant_housing_1y,2015,3,Pima County,4019,0.117484033,53115,452104
perc_vacant_housing_1y,2015,3,Pinal County,4021,0.211000681,35116,166426
perc_vacant_housing_1y,2015,3,Yavapai County,4025,0.155750096,17613,113085
perc_vacant_housing_1y,2015,3,Yuma County,4027,0.192341268,17404,90485
perc_vacant_housing_1y,2015,4,Benton County,5007,0.079994395,7990,99882
perc_vacant_housing_1y,2015,4,Craighead County,5031,0.087597214,3852,43974
perc_vacant_housing_1y,2015,4,Faulkner County,5045,0.102822952,5052,49133
perc_vacant_housing_1y,2015,4,Garland County,5051,0.197708696,9992,50539
perc_vacant_housing_1y,2015,4,Jefferson County,5069,0.200198486,6657,33252
perc_vacant_housing_1y,2015,4,Lonoke County,5085,0.082062654,2368,28856
perc_vacant_housing_1y,2015,4,Pulaski County,5119,0.13324447,24291,182304
perc_vacant_housing_1y,2015,4,Saline County,5125,0.066506393,3126,47003
perc_vacant_housing_1y,2015,4,Sebastian County,5131,0.108799376,6134,56379
perc_vacant_housing_1y,2015,4,Washington County,5143,0.085028805,7719,90781
perc_vacant_housing_1y,2015,4,White County,5145,0.131786913,4386,33281
perc_vacant_housing_1y,2015,5,Alameda County,6001,0.036638804,21832,595871
perc_vacant_housing_1y,2015,5,Butte County,6007,0.126376987,12390,98040
perc_vacant_housing_1y,2015,5,Contra Costa County,6013,0.039573565,16177,408783
perc_vacant_housing_1y,2015,5,El Dorado County,6017,0.212021798,18871,89005
perc_vacant_housing_1y,2015,5,Fresno County,6019,0.063947976,20848,326015
perc_vacant_housing_1y,2015,5,Humboldt County,6023,0.13708505,8577,62567
perc_vacant_housing_1y,2015,5,Imperial County,6025,0.186880782,10695,57229
perc_vacant_housing_1y,2015,5,Kern County,6029,0.096733868,28400,293589
perc_vacant_housing_1y,2015,5,Kings County,6031,0.056197654,2543,45251
perc_vacant_housing_1y,2015,5,Lake County,6033,0.25262627,9018,35697
perc_vacant_housing_1y,2015,5,Los Angeles County,6037,0.055901125,195897,3504348
perc_vacant_housing_1y,2015,5,Madera County,6039,0.097004049,4860,50101
perc_vacant_housing_1y,2015,5,Marin County,6041,0.04656839,5247,112673
perc_vacant_housing_1y,2015,5,Mendocino County,6045,0.128006667,5226,40826
perc_vacant_housing_1y,2015,5,Merced County,6047,0.061123099,5155,84338
perc_vacant_housing_1y,2015,5,Monterey County,6053,0.092219427,12956,140491
perc_vacant_housing_1y,2015,5,Napa County,6055,0.086193226,4782,55480
perc_vacant_housing_1y,2015,5,Nevada County,6057,0.216173187,11543,53397
