measure label,year,state,county,fips,perc_seniors_below_poverty_5y2012,numerator,denominator
perc_seniors_below_poverty_5y,2012, Alabama,Autauga County,1001,,512,
perc_seniors_below_poverty_5y,2012, Alabama,Baldwin County,1003,0.053943511,1675,31051
perc_seniors_below_poverty_5y,2012, Alabama,Barbour County,1005,,660,
perc_seniors_below_poverty_5y,2012, Alabama,Bibb County,1007,,364,
perc_seniors_below_poverty_5y,2012, Alabama,Blount County,1009,0.096657313,827,8556
perc_seniors_below_poverty_5y,2012, Alabama,Bullock County,1011,,287,
perc_seniors_below_poverty_5y,2012, Alabama,Butler County,1013,,722,
perc_seniors_below_poverty_5y,2012, Alabama,Calhoun County,1015,0.110087462,1888,17150
perc_seniors_below_poverty_5y,2012, Alabama,Chambers County,1017,,789,
perc_seniors_below_poverty_5y,2012, Alabama,Cherokee County,1019,,451,
perc_seniors_below_poverty_5y,2012, Alabama,Chilton County,1021,,678,
perc_seniors_below_poverty_5y,2012, Alabama,Choctaw County,1023,,484,
perc_seniors_below_poverty_5y,2012, Alabama,Clarke County,1025,,707,
perc_seniors_below_poverty_5y,2012, Alabama,Clay County,1027,,276,
perc_seniors_below_poverty_5y,2012, Alabama,Cleburne County,1029,,331,
perc_seniors_below_poverty_5y,2012, Alabama,Coffee County,1031,0.122404069,890,7271
perc_seniors_below_poverty_5y,2012, Alabama,Colbert County,1033,0.095815323,909,9487
perc_seniors_below_poverty_5y,2012, Alabama,Conecuh County,1035,,464,
perc_seniors_below_poverty_5y,2012, Alabama,Coosa County,1037,,290,
perc_seniors_below_poverty_5y,2012, Alabama,Covington County,1039,0.133089989,948,7123
perc_seniors_below_poverty_5y,2012, Alabama,Crenshaw County,1041,,330,
perc_seniors_below_poverty_5y,2012, Alabama,Cullman County,1043,0.130952388,1694,12936
perc_seniors_below_poverty_5y,2012, Alabama,Dale County,1045,,602,
perc_seniors_below_poverty_5y,2012, Alabama,Dallas County,1047,,1248,
perc_seniors_below_poverty_5y,2012, Alabama,DeKalb County,1049,0.130670413,1302,9964
perc_seniors_below_poverty_5y,2012, Alabama,Elmore County,1051,0.089087091,849,9530
perc_seniors_below_poverty_5y,2012, Alabama,Escambia County,1053,,761,
perc_seniors_below_poverty_5y,2012, Alabama,Etowah County,1055,0.111520126,1848,16571
perc_seniors_below_poverty_5y,2012, Alabama,Fayette County,1057,,398,
perc_seniors_below_poverty_5y,2012, Alabama,Franklin County,1059,,706,
perc_seniors_below_poverty_5y,2012, Alabama,Geneva County,1061,,390,
perc_seniors_below_poverty_5y,2012, Alabama,Greene County,1063,,303,
perc_seniors_below_poverty_5y,2012, Alabama,Hale County,1065,,463,
perc_seniors_below_poverty_5y,2012, Alabama,Henry County,1067,,493,
perc_seniors_below_poverty_5y,2012, Alabama,Houston County,1069,0.103988603,1533,14742
perc_seniors_below_poverty_5y,2012, Alabama,Jackson County,1071,0.139047191,1220,8774
perc_seniors_below_poverty_5y,2012, Alabama,Jefferson County,1073,0.102866933,8945,86957
perc_seniors_below_poverty_5y,2012, Alabama,Lamar County,1075,,446,
perc_seniors_below_poverty_5y,2012, Alabama,Lauderdale County,1077,0.088146679,1375,15599
perc_seniors_below_poverty_5y,2012, Alabama,Lawrence County,1079,,499,
perc_seniors_below_poverty_5y,2012, Alabama,Lee County,1081,0.088778518,1144,12886
perc_seniors_below_poverty_5y,2012, Alabama,Limestone County,1083,0.103290945,1064,10301
perc_seniors_below_poverty_5y,2012, Alabama,Lowndes County,1085,,371,
perc_seniors_below_poverty_5y,2012, Alabama,Macon County,1087,,497,
perc_seniors_below_poverty_5y,2012, Alabama,Madison County,1089,0.066852301,2761,41300
perc_seniors_below_poverty_5y,2012, Alabama,Marengo County,1091,,755,
perc_seniors_below_poverty_5y,2012, Alabama,Marion County,1093,,690,
perc_seniors_below_poverty_5y,2012, Alabama,Marshall County,1095,0.112570353,1560,13858
perc_seniors_below_poverty_5y,2012, Alabama,Mobile County,1097,0.113145344,6075,53692
perc_seniors_below_poverty_5y,2012, Alabama,Monroe County,1099,,644,
perc_seniors_below_poverty_5y,2012, Alabama,Montgomery County,1101,0.093799852,2587,27580
perc_seniors_below_poverty_5y,2012, Alabama,Morgan County,1103,0.093709506,1591,16978
perc_seniors_below_poverty_5y,2012, Alabama,Perry County,1105,,238,
perc_seniors_below_poverty_5y,2012, Alabama,Pickens County,1107,,624,
perc_seniors_below_poverty_5y,2012, Alabama,Pike County,1109,,650,
perc_seniors_below_poverty_5y,2012, Alabama,Randolph County,1111,,664,
perc_seniors_below_poverty_5y,2012, Alabama,Russell County,1113,,1043,
perc_seniors_below_poverty_5y,2012, Alabama,Shelby County,1117,0.038775511,817,21070
perc_seniors_below_poverty_5y,2012, Alabama,St. Clair County,1115,0.087430216,971,11106
perc_seniors_below_poverty_5y,2012, Alabama,Sumter County,1119,,491,
perc_seniors_below_poverty_5y,2012, Alabama,Talladega County,1121,0.152720734,1785,11688
perc_seniors_below_poverty_5y,2012, Alabama,Tallapoosa County,1123,0.081218272,592,7289
perc_seniors_below_poverty_5y,2012, Alabama,Tuscaloosa County,1125,0.077730499,1644,21150
perc_seniors_below_poverty_5y,2012, Alabama,Walker County,1127,0.104548357,1147,10971
perc_seniors_below_poverty_5y,2012, Alabama,Washington County,1129,,337,
perc_seniors_below_poverty_5y,2012, Alabama,Wilcox County,1131,,340,
perc_seniors_below_poverty_5y,2012, Alabama,Winston County,1133,,684,
