measure label,year,state,county,fips,perc_below_poverty_1y,numerator,denominator
perc_below_poverty_1y,2015,1,Baldwin County,1003,0.127944544,25658,200540
perc_below_poverty_1y,2015,1,Calhoun County,1015,0.199585974,22464,112553
perc_below_poverty_1y,2015,1,Cullman County,1043,0.220917881,17878,80926
perc_below_poverty_1y,2015,1,DeKalb County,1049,0.205073521,14422,70326
perc_below_poverty_1y,2015,1,Elmore County,1051,0.137852609,10668,77387
perc_below_poverty_1y,2015,1,Etowah County,1055,0.181014732,18413,101721
perc_below_poverty_1y,2015,1,Houston County,1069,0.181211576,18684,103106
perc_below_poverty_1y,2015,1,Jefferson County,1073,0.176935405,114442,646801
perc_below_poverty_1y,2015,1,Lauderdale County,1077,0.173555925,15594,89850
perc_below_poverty_1y,2015,1,Lee County,1081,0.219010338,33230,151728
perc_below_poverty_1y,2015,1,Limestone County,1083,0.152481228,13526,88706
perc_below_poverty_1y,2015,1,Madison County,1089,0.13466312,46225,343264
perc_below_poverty_1y,2015,1,Marshall County,1095,0.209160447,19577,93598
perc_below_poverty_1y,2015,1,Mobile County,1097,0.176952943,71773,405605
perc_below_poverty_1y,2015,1,Montgomery County,1101,0.224968463,49406,219613
perc_below_poverty_1y,2015,1,Morgan County,1103,0.168491766,19741,117163
perc_below_poverty_1y,2015,1,Shelby County,1117,0.085684337,17576,205125
perc_below_poverty_1y,2015,1,St. Clair County,1115,0.108800903,9236,84889
perc_below_poverty_1y,2015,1,Talladega County,1121,0.230163127,17848,77545
perc_below_poverty_1y,2015,1,Tuscaloosa County,1125,0.202475324,39132,193268
perc_below_poverty_1y,2015,1,Walker County,1127,0.206958249,13301,64269
perc_below_poverty_1y,2015,2,Anchorage Municipality,2020,0.083607972,24405,291898
perc_below_poverty_1y,2015,2,Fairbanks North Star Borough,2090,0.074011229,7066,95472
perc_below_poverty_1y,2015,2,Matanuska-Susitna Borough,2170,0.098847069,9791,99052
perc_below_poverty_1y,2015,3,Apache County,4001,0.393518001,27562,70040
perc_below_poverty_1y,2015,3,Cochise County,4003,0.169893086,19290,113542
perc_below_poverty_1y,2015,3,Coconino County,4005,0.20014374,25342,126619
perc_below_poverty_1y,2015,3,Maricopa County,4013,0.162823409,670131,4115692
perc_below_poverty_1y,2015,3,Mohave County,4015,0.161693633,32552,201319
perc_below_poverty_1y,2015,3,Navajo County,4017,0.282238334,29869,105829
perc_below_poverty_1y,2015,3,Pima County,4019,0.189038455,185511,981340
perc_below_poverty_1y,2015,3,Pinal County,4021,0.157836512,59773,378702
perc_below_poverty_1y,2015,3,Yavapai County,4025,0.151041552,33071,218953
perc_below_poverty_1y,2015,3,Yuma County,4027,0.2045279,40762,199298
perc_below_poverty_1y,2015,4,Benton County,5007,0.109608188,27049,246779
perc_below_poverty_1y,2015,4,Craighead County,5031,0.169674188,16972,100027
perc_below_poverty_1y,2015,4,Faulkner County,5045,0.154909149,18048,116507
perc_below_poverty_1y,2015,4,Garland County,5051,0.200539261,19189,95687
perc_below_poverty_1y,2015,4,Jefferson County,5069,0.271355718,17770,65486
perc_below_poverty_1y,2015,4,Lonoke County,5085,0.11732167,8314,70865
perc_below_poverty_1y,2015,4,Pulaski County,5119,0.199779212,77272,386787
perc_below_poverty_1y,2015,4,Saline County,5125,0.115671836,13259,114626
perc_below_poverty_1y,2015,4,Sebastian County,5131,0.245005831,30686,125246
perc_below_poverty_1y,2015,4,Washington County,5143,0.175075188,38068,217438
perc_below_poverty_1y,2015,4,White County,5145,0.215067536,16112,74916
perc_below_poverty_1y,2015,5,Alameda County,6001,0.113669731,183184,1611546
perc_below_poverty_1y,2015,5,Butte County,6007,0.217618555,47796,219632
perc_below_poverty_1y,2015,5,Contra Costa County,6013,0.10255336,114576,1117233
perc_below_poverty_1y,2015,5,El Dorado County,6017,0.087309562,15903,182145
perc_below_poverty_1y,2015,5,Fresno County,6019,0.252763271,242083,957746
perc_below_poverty_1y,2015,5,Humboldt County,6023,0.210271508,27796,132191
perc_below_poverty_1y,2015,5,Imperial County,6025,0.250854552,42638,169971
perc_below_poverty_1y,2015,5,Kern County,6029,0.218772069,186501,852490
perc_below_poverty_1y,2015,5,Kings County,6031,0.236346558,31453,133080
perc_below_poverty_1y,2015,5,Lake County,6033,0.194392174,12396,63768
perc_below_poverty_1y,2015,5,Los Angeles County,6037,0.166448578,1668129,10021888
perc_below_poverty_1y,2015,5,Madera County,6039,0.233846888,34227,146365
perc_below_poverty_1y,2015,5,Marin County,6041,0.070691071,18027,255011
perc_below_poverty_1y,2015,5,Mendocino County,6045,0.212490082,18207,85684
perc_below_poverty_1y,2015,5,Merced County,6047,0.267305583,70118,262314
perc_below_poverty_1y,2015,5,Monterey County,6053,0.153030947,63637,415844
perc_below_poverty_1y,2015,5,Napa County,6055,0.107879549,14989,138942
perc_below_poverty_1y,2015,5,Nevada County,6057,0.133621484,13108,98098
perc_below_poverty_1y,2015,5,Orange County,6059,0.126571387,396172,3130028
