measure label,year,state,county,fips,perc_below_poverty_1y,numerator,denominator
perc_below_poverty_1y,2012,1,Baldwin County,1003,0.140557483,26448,188165
perc_below_poverty_1y,2012,1,Calhoun County,1015,0.221664727,25270,114001
perc_below_poverty_1y,2012,1,Cullman County,1043,0.197444499,15607,79045
perc_below_poverty_1y,2012,1,DeKalb County,1049,0.132594645,9334,70395
perc_below_poverty_1y,2012,1,Elmore County,1051,0.129935443,9922,76361
perc_below_poverty_1y,2012,1,Etowah County,1055,0.212490991,21819,102682
perc_below_poverty_1y,2012,1,Houston County,1069,0.191725507,19607,102266
perc_below_poverty_1y,2012,1,Jefferson County,1073,0.185941651,120297,646961
perc_below_poverty_1y,2012,1,Lauderdale County,1077,0.218818098,19884,90870
perc_below_poverty_1y,2012,1,Lee County,1081,0.246375173,34970,141938
perc_below_poverty_1y,2012,1,Limestone County,1083,0.102711208,8683,84538
perc_below_poverty_1y,2012,1,Madison County,1089,0.123348527,41369,335383
perc_below_poverty_1y,2012,1,Marshall County,1095,0.2319078,21653,93369
perc_below_poverty_1y,2012,1,Mobile County,1097,0.210585982,84891,403118
perc_below_poverty_1y,2012,1,Montgomery County,1101,0.213734016,47624,222819
perc_below_poverty_1y,2012,1,Morgan County,1103,0.162973568,19358,118780
perc_below_poverty_1y,2012,1,Shelby County,1117,0.08557114,16943,197999
perc_below_poverty_1y,2012,1,St. Clair County,1115,0.167604506,13880,82814
perc_below_poverty_1y,2012,1,Talladega County,1121,0.245566502,19123,77873
perc_below_poverty_1y,2012,1,Tuscaloosa County,1125,0.196689039,36962,187921
perc_below_poverty_1y,2012,1,Walker County,1127,0.216829717,14185,65420
perc_below_poverty_1y,2012,2,Anchorage Municipality,2020,0.083703741,24481,292472
perc_below_poverty_1y,2012,2,Fairbanks North Star Borough,2090,0.068849772,6646,96529
perc_below_poverty_1y,2012,2,Matanuska-Susitna Borough,2170,0.096145302,8872,92277
perc_below_poverty_1y,2012,3,Apache County,4001,0.331500262,23811,71828
perc_below_poverty_1y,2012,3,Cochise County,4003,0.186965659,22503,120359
perc_below_poverty_1y,2012,3,Coconino County,4005,0.259720653,33191,127795
perc_below_poverty_1y,2012,3,Maricopa County,4013,0.174505979,678741,3889500
perc_below_poverty_1y,2012,3,Mohave County,4015,0.216861904,40839,188318
perc_below_poverty_1y,2012,3,Navajo County,4017,0.306902349,32067,104486
perc_below_poverty_1y,2012,3,Pima County,4019,0.199769318,193466,968447
perc_below_poverty_1y,2012,3,Pinal County,4021,0.170298636,62581,367478
perc_below_poverty_1y,2012,3,Yavapai County,4025,0.14314194,30085,210176
perc_below_poverty_1y,2012,3,Yuma County,4027,0.215695381,41313,191534
perc_below_poverty_1y,2012,4,Benton County,5007,0.141790166,32501,229219
perc_below_poverty_1y,2012,4,Craighead County,5031,0.171483383,16270,94878
perc_below_poverty_1y,2012,4,Faulkner County,5045,0.1424274,16240,114023
perc_below_poverty_1y,2012,4,Garland County,5051,0.199176013,18951,95147
perc_below_poverty_1y,2012,4,Jefferson County,5069,0.22982116,15794,68723
perc_below_poverty_1y,2012,4,Lonoke County,5085,0.110477455,7652,69263
perc_below_poverty_1y,2012,4,Pulaski County,5119,0.186383575,71526,383757
perc_below_poverty_1y,2012,4,Saline County,5125,0.078602701,8672,110327
perc_below_poverty_1y,2012,4,Sebastian County,5131,0.207082197,25848,124820
perc_below_poverty_1y,2012,4,Washington County,5143,0.197104156,40158,203740
perc_below_poverty_1y,2012,4,White County,5145,0.2089037,15673,75025
perc_below_poverty_1y,2012,5,Alameda County,6001,0.130750701,199402,1525055
perc_below_poverty_1y,2012,5,Butte County,6007,0.220401958,47693,216391
perc_below_poverty_1y,2012,5,Contra Costa County,6013,0.111777224,119608,1070057
perc_below_poverty_1y,2012,5,El Dorado County,6017,0.085600026,15326,179042
perc_below_poverty_1y,2012,5,Fresno County,6019,0.28439784,264738,930872
perc_below_poverty_1y,2012,5,Humboldt County,6023,0.226364389,29814,131708
perc_below_poverty_1y,2012,5,Imperial County,6025,0.226979509,37332,164473
perc_below_poverty_1y,2012,5,Kern County,6029,0.238327563,196625,825020
perc_below_poverty_1y,2012,5,Kings County,6031,0.21201244,27819,131214
perc_below_poverty_1y,2012,5,Lake County,6033,0.266462892,16825,63142
