measure label,year,state,county,fips,perc_vacant_housing_1y,numerator,denominator
perc_vacant_housing_1y,2013,1,Baldwin County,1003,0.313292861,33142,105786
perc_vacant_housing_1y,2013,1,Calhoun County,1015,0.172088206,9131,53060
perc_vacant_housing_1y,2013,1,Cullman County,1043,0.125996426,4647,36882
perc_vacant_housing_1y,2013,1,DeKalb County,1049,0.261465669,8067,30853
perc_vacant_housing_1y,2013,1,Elmore County,1051,0.138081789,4548,32937
perc_vacant_housing_1y,2013,1,Etowah County,1055,0.150649026,7126,47302
perc_vacant_housing_1y,2013,1,Houston County,1069,0.11867319,5456,45975
perc_vacant_housing_1y,2013,1,Jefferson County,1073,0.147747099,44795,303187
perc_vacant_housing_1y,2013,1,Lauderdale County,1077,0.105178364,4635,44068
perc_vacant_housing_1y,2013,1,Lee County,1081,0.114986457,7431,64625
perc_vacant_housing_1y,2013,1,Limestone County,1083,0.06082559,2141,35199
perc_vacant_housing_1y,2013,1,Madison County,1089,0.096589193,14703,152222
perc_vacant_housing_1y,2013,1,Marshall County,1095,0.153443903,6162,40158
perc_vacant_housing_1y,2013,1,Mobile County,1097,0.175869659,31745,180503
perc_vacant_housing_1y,2013,1,Montgomery County,1101,0.143972009,14814,102895
perc_vacant_housing_1y,2013,1,Morgan County,1103,0.083243854,4264,51223
perc_vacant_housing_1y,2013,1,Shelby County,1117,0.097725399,8060,82476
perc_vacant_housing_1y,2013,1,St. Clair County,1115,,,35486
perc_vacant_housing_1y,2013,1,Talladega County,1121,0.144427598,5334,36932
perc_vacant_housing_1y,2013,1,Tuscaloosa County,1125,0.18995297,16441,86553
perc_vacant_housing_1y,2013,1,Walker County,1127,0.180336475,5499,30493
perc_vacant_housing_1y,2013,2,Anchorage Municipality,2020,0.077923104,8865,113766
perc_vacant_housing_1y,2013,2,Fairbanks North Star Borough,2090,0.168629527,7016,41606
perc_vacant_housing_1y,2013,2,Matanuska-Susitna Borough,2170,0.260232776,10732,41240
perc_vacant_housing_1y,2013,3,Apache County,4001,0.44060728,14366,32605
perc_vacant_housing_1y,2013,3,Cochise County,4003,0.193676814,11676,60286
perc_vacant_housing_1y,2013,3,Coconino County,4005,0.218730673,14144,64664
perc_vacant_housing_1y,2013,3,Maricopa County,4013,0.131682366,219677,1668234
perc_vacant_housing_1y,2013,3,Mohave County,4015,0.25035581,27969,111717
perc_vacant_housing_1y,2013,3,Navajo County,4017,0.375608385,21531,57323
perc_vacant_housing_1y,2013,3,Pima County,4019,0.112365685,50226,446987
