measure label,year,state,county,fips,perc_good_english_5y,numerator,denominator
perc_good_english_5y,2014,1,Autauga County,1001,0.991473496,51280,51721
perc_good_english_5y,2014,1,Baldwin County,1003,0.976485372,175575,179803
perc_good_english_5y,2014,1,Barbour County,1005,0.971598685,24802,25527
perc_good_english_5y,2014,1,Bibb County,1007,0.991159916,21303,21493
perc_good_english_5y,2014,1,Blount County,1009,0.966475487,52238,54050
perc_good_english_5y,2014,1,Bullock County,1011,0.974263966,9729,9986
perc_good_english_5y,2014,1,Butler County,1013,0.991792202,19092,19250
perc_good_english_5y,2014,1,Calhoun County,1015,0.985001564,108624,110278
perc_good_english_5y,2014,1,Chambers County,1017,0.995386958,31935,32083
perc_good_english_5y,2014,1,Cherokee County,1019,0.998304784,24734,24776
perc_good_english_5y,2014,1,Chilton County,1021,0.958136559,39160,40871
perc_good_english_5y,2014,1,Choctaw County,1023,0.999377847,12850,12858
perc_good_english_5y,2014,1,Clarke County,1025,0.995861232,23821,23920
perc_good_english_5y,2014,1,Clay County,1027,0.979247332,12646,12914
perc_good_english_5y,2014,1,Cleburne County,1029,0.995250583,14040,14107
perc_good_english_5y,2014,1,Coffee County,1031,0.963277638,45695,47437
perc_good_english_5y,2014,1,Colbert County,1033,0.990083635,50920,51430
perc_good_english_5y,2014,1,Conecuh County,1035,0.984785259,12039,12225
perc_good_english_5y,2014,1,Coosa County,1037,0.992338598,10621,10703
perc_good_english_5y,2014,1,Covington County,1039,0.988397539,35268,35682
perc_good_english_5y,2014,1,Crenshaw County,1041,0.979698181,12788,13053
perc_good_english_5y,2014,1,Cullman County,1043,0.979825854,74261,75790
perc_good_english_5y,2014,1,Dale County,1045,0.985623062,46001,46672
perc_good_english_5y,2014,1,Dallas County,1047,0.997685194,39652,39744
perc_good_english_5y,2014,1,DeKalb County,1049,0.940329909,62531,66499
perc_good_english_5y,2014,1,Elmore County,1051,0.984094441,74369,75571
perc_good_english_5y,2014,1,Escambia County,1053,0.995684087,35528,35682
perc_good_english_5y,2014,1,Etowah County,1055,0.983196199,96425,98073
perc_good_english_5y,2014,1,Fayette County,1057,0.997074187,16017,16064
perc_good_english_5y,2014,1,Franklin County,1059,0.895829797,26444,29519
perc_good_english_5y,2014,1,Geneva County,1061,0.985120118,24893,25269
perc_good_english_5y,2014,1,Greene County,1063,0.998912752,8269,8278
perc_good_english_5y,2014,1,Hale County,1065,0.991700649,14339,14459
perc_good_english_5y,2014,1,Henry County,1067,0.984138668,16070,16329
perc_good_english_5y,2014,1,Houston County,1069,0.985888302,95084,96445
perc_good_english_5y,2014,1,Jackson County,1071,0.990417242,49610,50090
perc_good_english_5y,2014,1,Jefferson County,1073,0.972772956,598411,615160
perc_good_english_5y,2014,1,Lamar County,1075,0.991335928,13387,13504
perc_good_english_5y,2014,1,Lauderdale County,1077,0.987183988,86656,87781
perc_good_english_5y,2014,1,Lawrence County,1079,0.996397257,31805,31920
perc_good_english_5y,2014,1,Lee County,1081,0.964999914,134107,138971
perc_good_english_5y,2014,1,Limestone County,1083,0.973394334,79611,81787
perc_good_english_5y,2014,1,Lowndes County,1085,0.998826385,10213,10225
perc_good_english_5y,2014,1,Macon County,1087,0.991020143,19313,19488
perc_good_english_5y,2014,1,Madison County,1089,0.973413229,313917,322491
perc_good_english_5y,2014,1,Marengo County,1091,0.996577144,19216,19282
perc_good_english_5y,2014,1,Marion County,1093,0.994878888,28752,28900
perc_good_english_5y,2014,1,Marshall County,1095,0.926385701,81194,87646
perc_good_english_5y,2014,1,Mobile County,1097,0.980983496,378847,386191
perc_good_english_5y,2014,1,Monroe County,1099,0.998627305,21097,21126
perc_good_english_5y,2014,1,Montgomery County,1101,0.971145749,207024,213175
perc_good_english_5y,2014,1,Morgan County,1103,0.962582231,108149,112353
perc_good_english_5y,2014,1,Perry County,1105,0.99381423,9479,9538
perc_good_english_5y,2014,1,Pickens County,1107,0.995085597,18426,18517
perc_good_english_5y,2014,1,Pike County,1109,0.971828282,30495,31379
perc_good_english_5y,2014,1,Randolph County,1111,0.995105147,21346,21451
perc_good_english_5y,2014,1,Russell County,1113,0.988278866,52023,52640
perc_good_english_5y,2014,1,Shelby County,1117,0.964984059,181858,188457
perc_good_english_5y,2014,1,St. Clair County,1115,0.987383425,78887,79895
perc_good_english_5y,2014,1,Sumter County,1119,0.986045778,12578,12756
perc_good_english_5y,2014,1,Talladega County,1121,0.988439023,76093,76983
perc_good_english_5y,2014,1,Tallapoosa County,1123,0.98873049,38428,38866
perc_good_english_5y,2014,1,Tuscaloosa County,1125,0.975620091,182119,186670
perc_good_english_5y,2014,1,Walker County,1127,0.992970765,61873,62311
perc_good_english_5y,2014,1,Washington County,1129,0.991780162,16168,16302
perc_good_english_5y,2014,1,Wilcox County,1131,0.99897176,10687,10698
perc_good_english_5y,2014,1,Winston County,1133,0.989301085,22747,22993
perc_good_english_5y,2014,2,Aleutians East Borough,2013,0.580443621,1858,3201
perc_good_english_5y,2014,2,Aleutians West Census Area,2016,0.769924521,4183,5433
perc_good_english_5y,2014,2,Anchorage Municipality,2020,0.938126564,258922,275999
perc_good_english_5y,2014,2,Bethel Census Area,2050,0.813842356,12770,15691
perc_good_english_5y,2014,2,Bristol Bay Borough,2060,0.997854054,930,932
perc_good_english_5y,2014,2,Denali Borough,2068,0.953439176,1802,1890
perc_good_english_5y,2014,2,Dillingham Census Area,2070,0.875056207,3894,4450
perc_good_english_5y,2014,2,Fairbanks North Star Borough,2090,0.975045919,89166,91448
perc_good_english_5y,2014,2,Haines Borough,2100,0.995985568,2481,2491
perc_good_english_5y,2014,2,Hoonah-Angoon Census Area,2105,0.972180843,1957,2013
perc_good_english_5y,2014,2,Juneau City and Borough,2110,0.968270242,29265,30224
perc_good_english_5y,2014,2,Kenai Peninsula Borough,2122,0.985650897,52411,53174
perc_good_english_5y,2014,2,Ketchikan Gateway Borough,2130,0.978293121,12529,12807
