measure label,year,state,county,fips,perc_vacant_housing_1y,numerator,denominator
perc_vacant_housing_1y,2014,1,Baldwin County,1003,0.285657078,30675,107384
perc_vacant_housing_1y,2014,1,Calhoun County,1015,0.124683321,6644,53287
perc_vacant_housing_1y,2014,1,Cullman County,1043,0.180648282,6710,37144
perc_vacant_housing_1y,2014,1,DeKalb County,1049,0.200811744,6234,31044
perc_vacant_housing_1y,2014,1,Elmore County,1051,0.146998793,4898,33320
perc_vacant_housing_1y,2014,1,Etowah County,1055,0.163298383,7757,47502
perc_vacant_housing_1y,2014,1,Houston County,1069,0.163168654,7580,46455
perc_vacant_housing_1y,2014,1,Jefferson County,1073,0.136375412,41602,305055
perc_vacant_housing_1y,2014,1,Lauderdale County,1077,0.136127904,6037,44348
perc_vacant_housing_1y,2014,1,Lee County,1081,0.102516398,6722,65570
perc_vacant_housing_1y,2014,1,Limestone County,1083,0.103212886,3659,35451
perc_vacant_housing_1y,2014,1,Madison County,1089,0.088065825,13603,154464
perc_vacant_housing_1y,2014,1,Marshall County,1095,0.127934948,5160,40333
perc_vacant_housing_1y,2014,1,Mobile County,1097,0.152446344,27687,181618
perc_vacant_housing_1y,2014,1,Montgomery County,1101,0.131252781,13576,103434
perc_vacant_housing_1y,2014,1,Morgan County,1103,0.125902906,6484,51500
perc_vacant_housing_1y,2014,1,Shelby County,1117,0.086675853,7237,83495
perc_vacant_housing_1y,2014,1,St. Clair County,1115,0.099944212,3583,35850
perc_vacant_housing_1y,2014,1,Talladega County,1121,0.173826501,6462,37175
perc_vacant_housing_1y,2014,1,Tuscaloosa County,1125,0.219534144,19274,87795
perc_vacant_housing_1y,2014,1,Walker County,1127,0.173833668,5332,30673
perc_vacant_housing_1y,2014,2,Anchorage Municipality,2020,0.078446463,8968,114320
perc_vacant_housing_1y,2014,2,Fairbanks North Star Borough,2090,0.139769733,5827,41690
perc_vacant_housing_1y,2014,2,Matanuska-Susitna Borough,2170,0.253733873,10482,41311
perc_vacant_housing_1y,2014,3,Apache County,4001,0.411917806,13452,32657
perc_vacant_housing_1y,2014,3,Cochise County,4003,0.210293189,12724,60506
perc_vacant_housing_1y,2014,3,Coconino County,4005,0.254348665,16333,64215
perc_vacant_housing_1y,2014,3,Maricopa County,4013,0.121862844,204752,1680184
perc_vacant_housing_1y,2014,3,Mohave County,4015,0.260152966,29217,112307
perc_vacant_housing_1y,2014,3,Navajo County,4017,0.399045408,22908,57407
perc_vacant_housing_1y,2014,3,Pima County,4019,0.124881081,56051,448835
perc_vacant_housing_1y,2014,3,Pinal County,4021,0.187624454,31092,165714
perc_vacant_housing_1y,2014,3,Yavapai County,4025,0.191533223,21554,112534
perc_vacant_housing_1y,2014,3,Yuma County,4027,0.189480469,17036,89909
perc_vacant_housing_1y,2014,4,Benton County,5007,0.114564858,11175,97543
perc_vacant_housing_1y,2014,4,Craighead County,5031,0.107924633,4674,43308
perc_vacant_housing_1y,2014,4,Faulkner County,5045,0.115583032,5646,48848
perc_vacant_housing_1y,2014,4,Garland County,5051,0.204905555,10359,50555
perc_vacant_housing_1y,2014,4,Jefferson County,5069,0.142650813,4741,33235
perc_vacant_housing_1y,2014,4,Lonoke County,5085,0.067733258,1939,28627
perc_vacant_housing_1y,2014,4,Pulaski County,5119,0.16106683,29223,181434
perc_vacant_housing_1y,2014,4,Saline County,5125,0.109428868,5110,46697
perc_vacant_housing_1y,2014,4,Sebastian County,5131,0.124466889,6975,56039
perc_vacant_housing_1y,2014,4,Washington County,5143,0.08878541,7970,89767
perc_vacant_housing_1y,2014,4,White County,5145,0.122055545,4052,33198
perc_vacant_housing_1y,2014,5,Alameda County,6001,0.044588644,26414,592393
perc_vacant_housing_1y,2014,5,Butte County,6007,0.121036813,11800,97491
perc_vacant_housing_1y,2014,5,Contra Costa County,6013,0.042505752,17291,406792
perc_vacant_housing_1y,2014,5,El Dorado County,6017,0.238750547,21218,88871
