year,county,state,copd_apc_2012,copd_prev,asthma_prev,tobacco_prev,med_income_5y,perc_below_poverty_1y,perc_below_poverty_5y,unemployment_1y,unemployment_5y,num_days_rain,perc_cultivated_land_use,perc_forest_cover,perc_park_proximity,rural_urban,total_pollutants,acetaldehyde,benzene,formaldehyde,copd_apc_2013,apc_percent_diff
2012,Autauga,ALABAMA,1724,12,4,8,53773,,0.115510091,,0.083447076,112,0.077,0.507,0.2,1,10.8,3.59,0.54,2.87,1710,-0.00812065
2012,Baldwin,ALABAMA,1384,10,4,7,50706,0.140557483,0.132629722,0.087639771,0.084527798,141,0.103,0.356,0.05,1,9.6,2.44,0.31,1.89,1233,-0.109104046
2012,Barbour,ALABAMA,1515,10,6,8,31889,,0.26070118,,0.135254785,122,0.072,0.566,0.04,2,10.1,3.34,0.35,2.52,1583,0.044884488
2012,Bibb,ALABAMA,1061,13,5,10,36824,,0.164907768,,0.104562938,129,0.009,0.746,0,1,10.5,3.47,0.35,2.72,1606,0.513666352
2012,Blount,ALABAMA,1810,14,5,10,45192,,0.147316337,,0.100098766,119,0.056,0.505,0.01,1,11.3,2.97,0.36,2.26,1365,-0.245856354
2012,Bullock,ALABAMA,1024,10,4,6,34500,,0.221661985,,0.143007144,119,0.053,0.546,0.01,2,9.8,3.47,0.31,2.65,1464,0.4296875
2012,Butler,ALABAMA,1734,15,5,8,30752,,0.256853819,,0.137585372,134,0.024,0.631,0.1,2,9.4,3.42,0.35,2.64,1666,-0.039215686
2012,Calhoun,ALABAMA,1552,15,5,11,40093,0.221664727,0.214097336,0.15338634,0.132003024,126,0.034,0.604,0.17,1,11.6,3.15,0.5,2.44,1619,0.043170103
2012,Chambers,ALABAMA,928,14,4,9,32181,,0.232736424,,0.160446793,126,0.001,0.613,0.02,2,10.4,3.21,0.38,2.44,1067,0.149784483
2012,Cherokee,ALABAMA,1381,16,5,11,36241,,0.194811314,,0.10445191,133,0.098,0.511,0.03,2,10.8,2.97,0.38,2.2,1662,0.203475742
2012,Chilton,ALABAMA,1537,13,5,9,40834,,0.185661048,,0.113306075,123,0.028,0.6,0.01,1,10.5,3.36,0.35,2.67,1696,0.103448276
2012,Choctaw,ALABAMA,2348,10,3,8,35123,,0.201785192,,0.156290889,130,0.014,0.693,0.05,2,9.6,3.48,0.24,2.61,2247,-0.043015332
2012,Clarke,ALABAMA,2203,10,3,4,30954,,0.263813287,,0.167003557,128,0.005,0.688,0.01,2,9.6,3.49,0.28,2.56,1773,-0.195188379
2012,Clay,ALABAMA,1297,17,4,9,34556,,0.198327541,,0.116675012,132,0,0.768,0.04,2,9.9,3.05,0.31,2.31,1210,-0.067077872
2012,Cleburne,ALABAMA,1467,18,4,11,37244,,0.179782897,,0.122464202,139,0,0.747,0.01,2,10.3,3.04,0.32,2.3,2047,0.39536469
2012,Coffee,ALABAMA,1338,13,6,9,44626,,0.171476185,,0.069572471,122,0.142,0.513,0,2,9.6,3.25,0.37,2.42,1258,-0.059790732
2012,Colbert,ALABAMA,1410,15,5,11,40158,,0.162089437,,0.086850055,129,0.105,0.449,0.02,1,10.2,2.94,0.41,2.29,1399,-0.007801418
2012,Conecuh,ALABAMA,2524,18,5,6,27064,,0.303529233,,0.236352727,132,0.034,0.671,0.02,2,9.1,3.36,0.28,2.54,2312,-0.083993661
2012,Coosa,ALABAMA,2084,13,4,9,37425,,0.20198074,,0.137821779,124,0.001,0.769,0.02,2,10.2,3.29,0.3,2.54,2398,0.150671785
2012,Covington,ALABAMA,1457,17,5,9,35321,,0.208842248,,0.101580136,130,0.034,0.587,0.11,2,9.2,3.25,0.32,2.35,1426,-0.021276596
2012,Crenshaw,ALABAMA,1973,15,4,8,37309,,0.184401274,,0.085356422,139,0.051,0.578,0,2,9.5,3.36,0.28,2.52,1777,-0.099341105
2012,Cullman,ALABAMA,1582,14,4,9,39244,0.197444499,0.185870647,0.075185612,0.092078246,132,0.058,0.397,0,2,11.3,2.97,0.4,2.24,1516,-0.041719343
2012,Dale,ALABAMA,1535,14,5,9,45247,,0.159798712,,0.079255998,126,0.134,0.5,0.02,2,9.8,3.23,0.38,2.46,1212,-0.210423453
2012,Dallas,ALABAMA,1815,11,5,9,26178,,0.364518881,,0.193425253,114,0.071,0.42,0.05,2,10.1,3.56,0.53,2.75,1604,-0.116253444
2012,DeKalb,ALABAMA,1874,15,4,9,36853,0.132594645,0.195193186,,0.110210955,140,0.073,0.458,0.03,2,10.7,2.7,0.33,2,1753,-0.064567769
2012,Elmore,ALABAMA,1542,13,3,6,55514,0.129935443,0.129602462,0.061636504,0.083708465,114,0.07,0.538,0.03,1,11.1,3.49,0.41,2.8,1340,-0.130998703
2012,Escambia,ALABAMA,1633,13,5,10,31075,,0.249078169,,0.14824456,135,0.115,0.539,0.01,2,9.1,3.22,0.35,2.4,1760,0.077770974
2012,Etowah,ALABAMA,1786,17,5,9,37660,0.212490991,0.187571391,0.117447913,0.112452745,118,0.045,0.493,0.05,1,11.2,3.12,0.57,2.41,1771,-0.008398656
2012,Fayette,ALABAMA,1426,17,5,12,33090,,0.19106172,,0.080911681,133,0.045,0.702,0.01,2,10,3.23,0.29,2.52,1416,-0.007012623
2012,Franklin,ALABAMA,1927,18,3,11,37235,,0.198035017,,0.093484417,123,0.02,0.54,0,2,9.9,2.88,0.32,2.18,1846,-0.04203425
2012,Geneva,ALABAMA,1497,14,6,9,33618,,0.199764803,,0.096436396,120,0.232,0.32,0.04,1,9.3,3.13,0.32,2.27,1666,0.112892452
2012,Greene,ALABAMA,2837,13,8,8,23777,,0.328827828,,0.238479257,114,0.037,0.467,0.01,2,9.6,3.42,0.3,2.77,2890,0.018681706
2012,Hale,ALABAMA,1103,10,5,9,29409,,0.27686432,,0.158703074,121,0.044,0.465,0.04,1,9.9,3.45,0.3,2.71,1344,0.218495014
2012,Henry,ALABAMA,1314,10,6,7,40680,,0.160044611,,0.126061574,119,0.211,0.447,0.01,1,9.7,3.14,0.31,2.35,1513,0.151445967
2012,Houston,ALABAMA,1485,11,6,9,41828,0.191725507,0.176934525,0.075290784,0.077148885,122,0.315,0.254,0.01,1,9.5,3.11,0.51,2.34,1575,0.060606061
2012,Jackson,ALABAMA,1738,15,5,12,37059,,0.161938012,,0.080959141,138,0.068,0.591,0.03,2,10.7,2.66,0.37,2.01,1602,-0.078250863
2012,Jefferson,ALABAMA,1269,9,5,7,45415,0.185941651,0.170425475,0.092380986,0.099488564,129,0.011,0.573,0.32,1,12.9,3.34,0.67,2.68,1290,0.016548463
2012,Lamar,ALABAMA,1767,17,3,9,35271,,0.200752035,,0.094237506,129,0.017,0.633,0,2,9.7,3.17,0.26,2.49,1664,-0.058290889
2012,Lauderdale,ALABAMA,1532,14,5,8,40701,0.218818098,0.179436773,0.107278712,0.091135472,136,0.117,0.344,0.16,1,10.5,2.9,0.5,2.22,1448,-0.054830287
2012,Lawrence,ALABAMA,1571,17,5,13,39526,,0.16127795,,0.114984155,139,0.103,0.395,0.02,1,10.9,2.92,0.33,2.15,1669,0.062380649
2012,Lee,ALABAMA,1464,9,4,7,43189,0.246375173,0.210588396,0.067038953,0.095984615,114,0.037,0.58,0.16,1,11.1,3.37,0.5,2.65,1481,0.011612022
2012,Limestone,ALABAMA,1917,13,5,11,48197,0.102711208,0.133286223,0.085292585,0.088847175,127,0.189,0.244,0.11,1,11.7,2.82,0.44,2.08,1933,0.008346375
2012,Lowndes,ALABAMA,924,9,4,6,28023,,0.235624492,,0.175190419,112,0.121,0.402,0.01,1,10,3.43,0.29,2.63,1268,0.372294372
2012,Macon,ALABAMA,1127,8,3,6,27957,,0.281274736,,0.163809523,124,0.058,0.519,0.09,2,10.6,3.58,0.42,2.87,1088,-0.034605146
2012,Madison,ALABAMA,1616,11,5,7,58242,0.123348527,0.124107741,0.087667488,0.09258759,130,0.207,0.293,0.25,1,11.6,2.84,0.6,2.11,1589,-0.016707921
2012,Marengo,ALABAMA,1433,10,4,6,34515,,0.227524266,,0.105429441,122,0.014,0.515,0.02,2,9.8,3.47,0.27,2.72,1805,0.259595255
2012,Marion,ALABAMA,1860,18,3,10,31970,,0.209161341,,0.108885348,134,0.021,0.628,0.02,2,9.8,3.05,0.28,2.33,1680,-0.096774194
2012,Marshall,ALABAMA,1423,16,4,11,38649,0.2319078,0.199543357,0.096666023,0.091301255,135,0.057,0.408,0.03,2,11.3,2.81,0.4,2.1,1514,0.063949403
